    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           1         1.282482e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.847446e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.412410e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.977374e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.154234e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.410730e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.667227e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.923723e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.180219e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.436716e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.693212e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.949709e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.206205e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.462701e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.719198e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.975694e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.232190e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.488687e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.745183e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.001680e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.258176e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.514672e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.771169e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.027665e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.284162e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.540658e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.797154e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.053651e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.310147e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.566644e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.823140e-01         0.000000e+00         0.000000e+00         0.000000e+00
