    # generation:          shortest_distance:          average_of_top_2000:
           1              6.306933972252068              7.215384653712105
           2              6.063683383580386              6.969402466135295
           3              5.975327289049766              6.766206525636166
           4              5.782802373625302              6.581210502682545
           5              5.681282913688702              6.408653031931457
           6              5.618903123904258              6.253875011711961
           7              5.504884254612217              6.069850952202065
           8              5.379360777426011              5.900531257544489
           9               5.33232749261241              5.781349746359231
          10              5.178853107448672              5.666223182103831
          11              5.093968961927075              5.553984860099104
          12              4.900974048478998              5.455320947863288
          13              4.880366975102761              5.342290931723626
          14              4.836879995436694              5.222843123998964
          15              4.697693712580338              5.118122896580704
          16              4.600524097630619               5.03118416683133
          17              4.519641685432759              4.956307909740859
          18              4.398276262178721              4.871095292372156
          19              4.274657138200029              4.786519078957753
          20              4.260519125975311              4.682272484012509
          21              4.187935220073657              4.582651435090987
          22              4.126022963031666              4.484090907826319
          23              4.039439957358505               4.39317039871258
          24              3.968990500559303              4.300564296620752
          25              3.952046380448905              4.227491900978115
          26              3.869083710023473              4.165858527062541
          27              3.774537211397584              4.107533214789036
          28              3.705507400719355              4.043648913601302
          29              3.577878574894378              3.977767236318678
          30              3.552358371104724              3.914833530518793
          31              3.518158677203151              3.836177700131537
          32              3.466287028124651              3.757454203257065
          33              3.405955204128479               3.69104681488228
          34              3.323723815007319              3.628291545188739
          35              3.270547777261291              3.559041345180424
          36              3.225106015827807              3.496817678036663
          37              3.204340115622962               3.43626882858342
          38              3.107021670738959              3.389675164385708
          39              3.022335728229987              3.337077584237218
          40              2.976893966796502               3.28024350556315
          41               2.94511027830647              3.221749092028313
          42              2.883073706138997              3.162874363597557
          43              2.845097997603629              3.103652754478935
          44              2.826003216721113              3.049032387297863
          45              2.787912171522585              2.993124950461378
          46              2.751334558774134              2.943376444141736
          47              2.725987424439911              2.901644538971365
          48              2.687896379241383              2.872826471673261
          49              2.681044101791234              2.840811583527532
          50              2.640326830173358               2.81370071819599
          51              2.608649336253196              2.779162728567393
          52              2.584936311577259              2.742366295829615
          53              2.528166688122543              2.713615721923991
          54              2.480597139054519              2.689950481042293
          55              2.464883829533326              2.658984446816252
          56              2.446668243149214              2.624633013371227
          57              2.413108493826181              2.590951513083262
          58              2.405141987744399              2.556538693412246
          59               2.37372076763631              2.525573520799234
          60              2.351098699972799              2.504545326362749
          61               2.33359846792954              2.481252186554318
          62              2.318163286940934              2.458180215336286
          63              2.314059187397485              2.438099865267319
          64              2.294238085407992              2.420228238120088
          65              2.292762277757997              2.402416748621757
          66              2.264262494879023              2.377961448668289
          67              2.254545376832658                2.3620917820424
          68              2.238835584465978              2.353611687120075
          69              2.209161279983859              2.339366582153213
          70              2.203661362973345              2.325329368727644
          71              2.188281441607782              2.307955502881792
          72               2.18603407815869              2.284928298071618
          73               2.16155122322491              2.272622344818441
          74              2.149028412477466              2.256955720903387
          75              2.140348915218806               2.23685191140027
          76              2.136449637459826              2.228012689014182
          77              2.131179713633872              2.215560583075971
          78              2.117604803025385              2.204986779600443
          79              2.099793657847858               2.19912782656294
          80              2.086707555189716              2.193681784189155
          81              2.082153297440984              2.181468628450453
          82              2.070534568610441              2.172444378307217
          83               2.03895172114925              2.158987405308623
          84              2.038047639232349              2.137336159066928
          85              2.017974979321933              2.120458567858147
          86              1.995064695089106               2.09969938000883
          87               1.98239840354793              2.081556479787269
          88              1.952489480408135              2.067813252114767
          89              1.952094074677851              2.056251248308662
          90              1.924285268604746              2.037898603693872
          91              1.913941180566265              2.023272622862211
          92              1.901974325399039              1.996788047148168
          93              1.891234831630274                1.9826322487331
          94              1.886920464103603              1.971515202902147
          95              1.876180970334838              1.963645475359208
          96              1.863514678793663              1.954527059964133
          97              1.858981929751732              1.953873576988371
          98              1.843776659712877              1.946763898283249
          99              1.843776659712877              1.930605240318122
         100              1.822222663488295              1.911055092342583
         101              1.817689914446365               1.89321373309019
         102              1.807954752674902              1.882595706684355
         103              1.807097998937207              1.875711641948602
         104              1.783471888192125              1.866244093062116
         105              1.783471888192125              1.866473193559835
         106              1.758053768048119              1.871944690006432
         107              1.748388173031577              1.884764875239858
         108              1.743789763189478              1.891719556036065
         109              1.738653011260114               1.88434735097991
         110              1.738653011260114              1.873074876694824
         111              1.736169570740839              1.854575707321348
         112              1.706069144671996              1.834020741712378
         113              1.706069144671996              1.816799498382561
         114              1.704631284740307              1.808027203201162
         115              1.691289446922506              1.804654972226367
         116              1.691289446922506              1.797436437072231
         117              1.684422306787957              1.781943689717697
         118               1.68110512992173              1.765171206445085
         119              1.676064898582753              1.748504460610361
         120              1.657262972165308              1.744644476254417
         121              1.657262972165308              1.739325734394514
         122              1.651672230294391              1.737962468591373
         123              1.645617622590255              1.743091575165731
         124              1.636935684669261              1.737192576118758
         125              1.631743039673481              1.724780282311347
         126              1.631743039673481              1.705123990908324
         127               1.62442993226157              1.693850829954649
         128              1.622350547092949              1.690975020245817
         129              1.615042410903008              1.690111598923562
         130              1.615042410903008              1.685371919506685
         131              1.609202639566397              1.674973220412628
         132              1.606685002697803              1.666590328482727
         133              1.603304119077194                1.6550658054528
         134              1.594946710871989              1.644550646473522
         135              1.591699924374713              1.638852177661954
         136              1.583342516169508              1.635134444260685
         137              1.575729529946708              1.632436706412948
         138              1.575729529946708              1.630878687140361
         139              1.574513043855508              1.625549842470677
         140              1.561714402481822              1.622065188475311
         141              1.561714402481822              1.629691352272962
         142              1.558872177602552              1.630452630256829
         143              1.548517950488695               1.62753413597247
         144              1.548517950488695              1.618315094650553
         145              1.544857050137665              1.621612762856346
         146              1.529553559671571              1.625148103171712
         147              1.529553559671571              1.634383466483251
         148              1.529553559671571              1.636997715093705
         149               1.52254640727848              1.647085216235175
         150              1.517580541514146              1.650529026559892
         151              1.517580541514146              1.655533590788899
         152              1.517580541514146              1.651325515895891
         153              1.512981078731012              1.660706881990989
         154              1.512981078731012              1.661143456066245
         155               1.51065886705856              1.655594725555646
         156              1.501093538511092              1.654849333049986
         157              1.501093538511092              1.635726865427548
         158              1.501093538511092              1.617553502728802
         159              1.489430949684718              1.599391613950172
         160              1.488651562436029              1.578124261164336
         161              1.488651562436029              1.567023092390849
         162              1.479210010978925              1.568274549553018
         163              1.475641360477308              1.566833931936455
         164              1.475641360477308              1.564583817765285
         165              1.463510939319001              1.572295442233657
         166              1.463510939319001              1.565580353443208
         167              1.456650270374041              1.558354504491073
         168              1.456650270374041              1.554922600582597
         169              1.449242767061666              1.549430211714173
         170              1.449242767061666              1.537759859229445
         171              1.444677252216616              1.530420263686697
         172              1.440649707754876              1.526821465617063
